station_id,latitude,longitude,name
72,40.76727216,-73.99392888,"W 52 St & 11 Ave"
79,40.71911552,-74.00666661,"Franklin St & W Broadway"
82,40.71117416,-74.00016545,"St James Pl & Pearl St"
83,40.68382604,-73.97632328,"Atlantic Ave & Fort Greene Pl"
116,40.74177603,-74.00149746,"W 17 St & 8 Ave"
119,40.69608941,-73.97803415,"Park Ave & St Edwards St"
120,40.68676793,-73.95928168,"Lexington Ave & Classon Ave"
127,40.73172428,-74.00674436,"Barrow St & Hudson St"
128,40.72710258,-74.00297088,"MacDougal St & Prince St"
137,40.761628,-73.972924,"E 56 St & Madison Ave"
143,40.69239502,-73.99337909,"Clinton St & Joralemon St"
144,40.69839895,-73.98068914,"Nassau St & Navy St"
146,40.71625008,-74.0091059,"Hudson St & Reade St"
147,40.71542197,-74.01121978,"Greenwich St & Warren St"
150,40.7208736,-73.98085795,"E 2 St & Avenue C"
151,40.722103786686034,-73.99724900722504,"Cleveland Pl & Spring St"
152,40.71473993,-74.00910627,"Warren St & Church St"
153,40.752062307,-73.9816324043,"E 40 St & 5 Ave"
157,40.69089272,-73.99612349,"Henry St & Atlantic Ave"
161,40.72917025,-73.99810231,"LaGuardia Pl & W 3 St"
164,40.75323098,-73.97032517,"E 47 St & 2 Ave"
167,40.7489006,-73.97604882,"E 39 St & 3 Ave"
168,40.73971301,-73.99456405,"W 18 St & 6 Ave"
173,40.76068327096592,-73.9845272898674,"Broadway & W 49 St"
174,40.7381765,-73.97738662,"E 25 St & 1 Ave"
195,40.70905623,-74.01043382,"Liberty St & Broadway"
212,40.74334935,-74.00681753,"W 16 St & The High Line"
216,40.70037867,-73.99548059,"Columbia Heights & Cranberry St"
217,40.70277159,-73.99383605,"Old Fulton St"
224,40.71146364,-74.00552427,"Spruce St & Nassau St"
225,40.74195138,-74.00803013,"W 14 St & The High Line"
228,40.7546011026,-73.971878855,"E 48 St & 3 Ave"
229,40.72743423,-73.99379025,"Great Jones St"
232,40.69597683,-73.99014892,"Cadman Plaza E & Tillary St"
236,40.7284186,-73.98713956,"St Marks Pl & 2 Ave"
237,40.73047309,-73.98672378,"E 11 St & 2 Ave"
238,40.7361967,-74.00859207,"Bank St & Washington St"
239,40.69196566,-73.9813018,"Willoughby St & Fleet St"
241,40.68981035,-73.97493121,"DeKalb Ave & S Portland Ave"
242,40.697787,-73.973736,"Carlton Ave & Flushing Ave"
243,40.688226,-73.979382,"Fulton St & Rockwell Pl"
244,40.69196035,-73.96536851,"Willoughby Ave & Hall St"
245,40.69327018,-73.97703874,"Myrtle Ave & St Edwards St"
247,40.73535398,-74.00483091,"Perry St & Bleecker St"
248,40.72185379,-74.00771779,"Laight St & Hudson St"
249,40.71870987,-74.0090009,"Harrison St & Hudson St"
251,40.72317958,-73.99480012,"Mott St & Prince St"
252,40.73226398,-73.99852205,"MacDougal St & Washington Sq"
253,40.73543934,-73.99453948,"W 13 St & 5 Ave"
254,40.73532427,-73.99800419,"W 11 St & 6 Ave"
255,40.646768,-74.01651,"NYCBS Depot - SSP"
257,40.71939226,-74.00247214,"Lispenard St & Broadway"
258,40.68940747,-73.96885458,"DeKalb Ave & Vanderbilt Ave"
259,40.70122128,-74.01234218,"South St & Whitehall St"
260,40.70365182,-74.01167797,"Broad St & Bridge St"
261,40.69474881,-73.98362464,"Johnson St & Gold St"
262,40.6917823,-73.9737299,"Washington Park"
263,40.717590818059804,-73.99622440338135,"Elizabeth St & Hester St"
264,40.70706456,-74.00731853,"Maiden Ln & Pearl St"
265,40.72229346,-73.99147535,"Stanton St & Chrystie St"
266,40.72368361,-73.97574813,"Avenue D & E 8 St"
